NaAl3(SiO4)3,1,monoclinic
Na5H7(Se2O9)2,1,monoclinic
Na4Br(ClO4)3,1,trigonal
Na4Co(MoO4)3,1,monoclinic
Na3Eu2(GeS4)2,0,triclinic
Na2CaV12O36,0,monoclinic
Mg3Cu(SnS4)2,0,orthorhombic
LiMo6(SeS3)2,0,trigonal
LiLa4AlO8,1,orthorhombic
Li3CoRuO5,0,monoclinic
LaTh4OF19,1,monoclinic
KBa(FeAs)4,0,orthorhombic
La4Ti5(S6O)2,0,monoclinic
KNbW2O9,1,triclinic
K8La(PS4)4,1,orthorhombic
K5Yb(MoO4)4,0,monoclinic
InGa(CuSe2)2,1,tetragonal
K2P2PdO7,1,orthorhombic
HoTaTiO6,1,monoclinic
K3Ag9(SbS3)4,1,tetragonal
InGa2(AgSe2)3,1,tetragonal
La9In(SiS7)3,1,trigonal
HfTi4(PbO3)5,1,monoclinic
Fe2CuNiPt4,0,tetragonal
GaMo4(SeS)4,0,cubic
Ga2Ag2Se3S,1,monoclinic
Fe3Mo6RhN2,0,monoclinic
DyTiFe11C,0,orthorhombic
Er2Mn(GeO3)4,1,orthorhombic
In4Cu3AgTe8,1,triclinic
CeY(MgNi4)2,0,trigonal
CuNi3(CO3)8,1,triclinic
Ca3Al4SiO12,0,triclinic
BaH3IO6,1,triclinic
Ba2TaCoO6,1,cubic
Ba3La3(Cu3O7)2,0,orthorhombic
Ba4Ta10FeO30,1,orthorhombic
Ca2Pr19(CoI12)3,0,triclinic
CsMnCrF6,1,orthorhombic
Ba3Ir2(NO2)12,0,tetragonal
AgSb(PbS2)2,1,tetragonal
AgW2(Br3O)2,0,monoclinic
Ba10Er5Cu15O34,0,triclinic
TaCr3(AgS4)2,1,monoclinic
CsLi2(HO)3,1,monoclinic
TaCr3(AgS4)2,0,triclinic
Mg2ScMn3S8,0,trigonal
Mg2CrCo3S8,1,trigonal
Sr2Ca6Mn8O23,0,orthorhombic
Ca8Mn6Cr2O21,0,triclinic
Ca8TiMn7O22,0,tetragonal
Li3Mn2CoO6,1,monoclinic
BaLaMn2O6,0,tetragonal
Ba2YMn3O8,0,tetragonal
La2TiCrO6,0,triclinic
Li3Fe2(SiO4)2,1,triclinic
Li3Cr2(CoO4)2,1,triclinic
Li3TiMn2O6,1,monoclinic
Li4Mn3NbO8,1,triclinic
KUCuS3,0,orthorhombic
